,long,lat,OBJECTID,Snow,Ice,ID_Map,VV
22,515707.29290000047,6893435.403499997,24,6.0,,,-18.048978805541992
23,515693.61820000067,6893419.297499999,25,4.0,,,-17.56940269470215
24,515676.5097999998,6893402.395699999,26,6.0,,,-17.53240966796875
25,515661.23319999984,6893383.497299998,27,10.0,,,-17.758930206298828
26,515645.3852000005,6893364.2621,28,4.0,,,-17.95235252380371
27,515621.41380000045,6893344.655099999,29,11.0,,,-17.52849769592285
28,515613.0610999999,6893326.3459,30,9.0,,,-17.513099670410156
29,515612.7944999997,6893327.681600001,31,7.0,,,-17.513099670410156
30,515612.7944999997,6893327.681600001,32,17.0,,,-17.513099670410156
31,515567.88389999943,6893274.4452,33,6.0,75,,-16.93720817565918
32,515550.5832000002,6893253.755399999,34,13.0,69,,-17.603334426879883
33,515531.5986000004,6893236.7343999995,35,10.0,73,,-17.24938201904297
34,515511.2699999994,6893217.4791,36,6.0,80,,-17.43333625793457
35,515495.87929999985,6893200.3634,37,6.0,81,,-17.508752822875977
36,515482.53519999975,6893179.914999999,38,6.0,78,,-17.426698684692383
37,515466.89910000033,6893159.456199999,39,8.0,73,,-16.907175064086914
38,514755.8978000001,6892117.865800001,49,3.0,,,-15.694149017333984
39,514763.75770000013,6892131.491599999,50,7.0,,,-16.062000274658203
40,514773.2511999995,6892140.891199999,51,4.0,,,-16.124513626098633
41,514781.02379999985,6892150.617400001,52,3.0,,,-15.937382698059082
42,514789.8383999995,6892160.348200002,53,4.0,,,-15.686626434326172
43,514798.0735,6892171.524799999,54,5.0,,,-15.618550300598145
44,514807.35639999964,6892181.369199999,55,2.0,,,-15.785103797912598
45,514815.3206000003,6892194.884100001,56,29.0,,,-15.774473190307617
46,514823.7147000003,6892205.392999998,57,3.0,,,-15.445903778076172
47,514831.16710000014,6892216.789099999,58,4.0,,,-14.831318855285645
48,514839.2004000006,6892226.405200002,59,5.0,,,-15.514155387878418
49,514847.4326999996,6892238.138900001,60,2.0,,,-16.246747970581055
50,514855.51110000006,6892249.315000002,61,5.0,,,-16.885915756225586
51,514863.2262000001,6892260.155200001,62,6.0,,,-17.228771209716797
52,514870.9884999998,6892272.1098,63,8.0,,,-17.299726486206055
53,514878.0758999994,6892283.504299997,64,7.0,,,-17.1141300201416
54,514885.5893999998,6892292.784000002,65,7.0,,,-16.978355407714844
55,514893.4012000005,6892305.295899998,66,5.0,,,-17.042451858520508
56,514900.8074000006,6892315.243599999,67,3.0,,,-17.107789993286133
57,514911.6314000002,6892329.885400001,68,11.0,,,-17.24161720275879
58,514920.7374999997,6892344.1855,69,4.0,,,-17.207918167114258
59,514931.2520999998,6892358.046200001,70,28.0,,,-17.066556930541992
60,514942.42369999987,6892376.477499999,71,4.0,,,-16.980451583862305
61,514952.0968000003,6892392.116999999,72,7.0,,,-16.88088035583496
62,514957.9552999989,6892410.302000001,73,5.0,,,-16.5228214263916
63,514967.88910000044,6892425.8314000005,74,6.0,,,-16.452213287353516
64,514979.00770000013,6892444.373900001,75,5.0,,,-16.97450828552246
65,514999.8017000004,6892477.887800001,77,8.0,,,-17.89739227294922
66,515009.11050000024,6892493.303100001,78,11.0,,,-18.013019561767578
67,515018.4162000005,6892509.386799999,79,8.0,,,-17.6771183013916
68,515028.7637,6892525.475200001,80,2.0,,,-17.300941467285156
69,515036.8815,6892539.2140999995,81,6.0,,,-16.928855895996094
70,515046.25200000027,6892552.4017,82,2.0,,,-16.894527435302734
71,515054.8851,6892567.368500002,83,8.0,,,-16.950687408447266
72,515073.42080000066,6892592.962999999,84,7.0,86,,-16.463237762451172
73,515087.03570000065,6892612.1855,85,8.0,83,,-17.10178565979004
74,515104.7920000004,6892637.2195999995,86,5.0,86,,-17.058345794677734
75,515119.33469999937,6892658.563099999,87,4.0,87,,-17.326162338256836
76,515137.1580999999,6892680.144200001,88,4.0,87,,-17.622806549072266
77,515156.39670000016,6892699.726399999,89,5.0,87,,-17.43378448486328
78,515174.12100000016,6892720.081799999,90,5.0,85,,-17.69124412536621
79,515191.5080000002,6892734.308499998,91,5.0,76,,-17.54623031616211
80,515215.21349999955,6892733.524,92,5.0,74,,-17.35907745361328
81,515223.03369999945,6892766.758000001,93,10.0,85,,-17.575597763061523
82,515240.41220000025,6892782.767400001,94,7.0,79,,-17.753337860107422
83,515256.04789999995,6892804.005,95,5.0,65,,-17.583219528198242
84,515270.74269999994,6892825.9069,96,9.0,76,,-17.422277450561523
# Image values are a mean over a 3x3 box
# Image: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/TerraSAR-X/DeceptionBay_orbit21_IncAngle40_VVVH/08K0001_20180201T112537_TDX/08K0001_20180201T112537_TDX_db.tif
# Shp: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1801_D_thicknesses_transect_noship_WGS84.shp
# combined with notransect
