,long,lat,OBJECTID,Snow,Ice,ID_Map,HH
35,515495.87929999985,6893200.3634,37,6.0,81,,-18.729671478271484
36,515482.53519999975,6893179.914999999,38,6.0,78,,-18.209806442260742
37,515466.89910000033,6893159.456199999,39,8.0,73,,-17.748559951782227
38,514755.8978000001,6892117.865800001,49,3.0,,,-16.52178192138672
39,514763.75770000013,6892131.491599999,50,7.0,,,-17.400602340698242
40,514773.2511999995,6892140.891199999,51,4.0,,,-17.475278854370117
41,514781.02379999985,6892150.617400001,52,3.0,,,-17.400386810302734
42,514789.8383999995,6892160.348200002,53,4.0,,,-17.163562774658203
43,514798.0735,6892171.524799999,54,5.0,,,-16.74966049194336
44,514807.35639999964,6892181.369199999,55,2.0,,,-16.286468505859375
45,514815.3206000003,6892194.884100001,56,29.0,,,-16.521381378173828
46,514823.7147000003,6892205.392999998,57,3.0,,,-16.71436882019043
47,514831.16710000014,6892216.789099999,58,4.0,,,-17.211658477783203
48,514839.2004000006,6892226.405200002,59,5.0,,,-17.554214477539062
49,514847.4326999996,6892238.138900001,60,2.0,,,-17.617225646972656
50,514855.51110000006,6892249.315000002,61,5.0,,,-17.69952392578125
51,514863.2262000001,6892260.155200001,62,6.0,,,-17.850059509277344
52,514870.9884999998,6892272.1098,63,8.0,,,-17.852861404418945
53,514878.0758999994,6892283.504299997,64,7.0,,,-17.595081329345703
54,514885.5893999998,6892292.784000002,65,7.0,,,-17.690244674682617
55,514893.4012000005,6892305.295899998,66,5.0,,,-17.925634384155273
56,514900.8074000006,6892315.243599999,67,3.0,,,-17.99595069885254
57,514911.6314000002,6892329.885400001,68,11.0,,,-18.016605377197266
58,514920.7374999997,6892344.1855,69,4.0,,,-18.191402435302734
59,514931.2520999998,6892358.046200001,70,28.0,,,-18.275911331176758
60,514942.42369999987,6892376.477499999,71,4.0,,,-18.003751754760742
61,514952.0968000003,6892392.116999999,72,7.0,,,-17.921871185302734
62,514957.9552999989,6892410.302000001,73,5.0,,,-17.96026611328125
63,514967.88910000044,6892425.8314000005,74,6.0,,,-18.296693801879883
64,514979.00770000013,6892444.373900001,75,5.0,,,-18.35243797302246
65,514999.8017000004,6892477.887800001,77,8.0,,,-18.16211700439453
66,515009.11050000024,6892493.303100001,78,11.0,,,-18.02945899963379
67,515018.4162000005,6892509.386799999,79,8.0,,,-17.717018127441406
68,515028.7637,6892525.475200001,80,2.0,,,-17.636320114135742
69,515036.8815,6892539.2140999995,81,6.0,,,-18.080432891845703
70,515046.25200000027,6892552.4017,82,2.0,,,-17.953998565673828
71,515054.8851,6892567.368500002,83,8.0,,,-18.37785530090332
72,515073.42080000066,6892592.962999999,84,7.0,86,,-18.317420959472656
73,515087.03570000065,6892612.1855,85,8.0,83,,-18.218780517578125
74,515104.7920000004,6892637.2195999995,86,5.0,86,,-18.369625091552734
75,515119.33469999937,6892658.563099999,87,4.0,87,,-18.69526481628418
76,515137.1580999999,6892680.144200001,88,4.0,87,,-18.51910972595215
77,515156.39670000016,6892699.726399999,89,5.0,87,,-18.806529998779297
78,515174.12100000016,6892720.081799999,90,5.0,85,,-18.79225730895996
79,515191.5080000002,6892734.308499998,91,5.0,76,,-18.79557228088379
80,515215.21349999955,6892733.524,92,5.0,74,,-18.266769409179688
81,515223.03369999945,6892766.758000001,93,10.0,85,,-18.094690322875977
82,515240.41220000025,6892782.767400001,94,7.0,79,,-18.26219940185547
83,515256.04789999995,6892804.005,95,5.0,65,,-18.543107986450195
84,515270.74269999994,6892825.9069,96,9.0,76,,-18.107131958007812
# Image values are a mean over a 9x9 box
# Image: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/TerraSAR-X/DeceptionBay_orbit13_IncAngle38_HHVV/01K0001_20180131T223207_TDX_db.tif
# Shp: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1801_D_thicknesses_transect_noship_WGS84.shp
